GeneName	MeanExpression
SPATA21	0.0329203510321249
NECAP2	0.148829280906502
LINC01772	0.0104006745999325
AL137802.2	0
NBPF1	0.031206542317096
CROCC	0.425632002179693
BX284668.5	0.0147354186458957
BX284668.6	0
AL049569.1	0.0116915052137731
ATP13A2	0.0400067119944608
SDHB	0.172137186113472
PADI2	0.0656537448791396
PADI4	0.190933074868281
PADI6	0
RCC2	0.224308164296362
ARHGEF10L	0.347972320002646
LINC02810	0
PAX7	0
ALDH4A1	0.0147746927491489
IFFO2	0.21915509753279
UBR4	0.297916156101103
EMC1-AS1	0.118661299383868
EMC1	0.0515849134157729
MRTO4	0.0344989596444167
AKR7A2	0.0296060373945283
SLC66A1	0.0243467889396823
CAPZB	0.761029586382976
MICOS10	0.16266246775035
AL031727.2	0.0117874312132568
TMCO4	0.136729538350014
OTUD3	0.0245605372489256
PLA2G2C	0.000231126102220722
VWA5B1	0
CAMK2N1	0.000231126102220722
MUL1	0.0213421496108129
CDA	0.189194074479826
PINK1	0.026330997860185
PINK1-AS	0.00624040475995949
DDOST	0.0901134613147242
KIF17	0
HP1BP3	0.356522381507699
EIF4G3	0.848025134275812
ECE1	0.17845118794918
AL031728.1	0
NBPF3	0.0160262492597362
ALPL	0
RAP1GAP	0
USP48	0.354549956331507
HSPG2	0
LINC01635	0
LINC00339	0.014098692235464
CDC42	0.54812987252024
CDC42-AS1	0.0150624707476001
CDC42-IT1	0.0515849134157728
WNT4	0
ZBTB40	0.121324898445678
C1QA	0.000693378306662166
C1QB	0.000693378306662166
EPHB2	0.0858841328239938
TEX46	0
KDM1A	0.115372271684169
AL031428.1	0.0699488385252908
LUZP1	0.14497685725077
LINC01355	0.000462252204441444
AL109936.6	0
HNRNPR	0.237797653930953
ZNF436	0.000231126102220722
ZNF436-AS1	0.000231126102220722
TCEA3	0
ASAP3	0.000231126102220722
E2F2	0.00878279188438743
ID3	0.00670265696440094
MDS2	0.00882206598764064
RPL11	1.2259125868109
ELOA-AS1	0.0644505558233032
ELOA	0.085391247346645
PITHD1	0.0912479481086694
LYPLA2	0.0604810090926214
GALE	0.0199553929974885
HMGCL	0.0872576339573881
FUCA1	0.0334392551327969
CNR2	0.00822461368046223
PNRC2	0.133269049775389
SRSF10	0.354630708959058
IFNLR1	0.000597452307178411
STPG1	0.00832053967994598
NIPAL3	0.081175078203559
RCAN3AS	0.0225763283284229
RCAN3	0.077271296628298
NCMAP-DT	0
SRRM1	0.40870323908582
CLIC4	0.209173487487086
RUNX3	0.21226477356414
SYF2	0.270941166603476
AL031432.4	0.00637560486269646
RSRP1	0.704714134863831
AL031432.3	0
RHD	0.0193972147935633
TMEM50A	0.195896711536534
RHCE	0
MACO1	0.1589474486184
LDLRAP1	0.0458067608602548
AL606491.1	0.000462252204441444
MAN1C1	0.113035724724064
AL031280.1	0.0145435666469282
SELENON	0.0491603486011045
AL020996.1	0
MTFR1L	0.030626467802895
AUNIP	0.000462252204441444
AL033528.2	0.014233892338201
PAQR7	0.0120185573154775
STMN1	0.0122496834176983
PAFAH2	0.0312239201100734
PDIK1L	0.0229037567266861
ZNF593	0.0368494947698772
CNKSR1	0.000231126102220722
CEP85	0.043957752042489
SH3BGRL3	0.643622857447607
UBXN11	0.180471604283564
CD52	0.571512360896262
CRYBG2	0.000231126102220722
ZNF683	0.000462252204441444
DHDDS	0.0887878751149289
AL513365.2	0.0224585060186633
HMGN2	0.274344307005653
RPS6KA1	0.189447000760036
ARID1A	0.537092119947417
PIGV	0.0120185573154775
ZDHHC18	0.042453173119405
GPN2	0.0397015562030322
GPATCH3	0.0359816422572248
NUDC	0.137826635482093
TRNP1	0.000462252204441444
SLC9A1	0.0969256561474052
AL590640.1	0
WDTC1	0.127575149150252
TMEM222	0.0433602997353106
SYTL1	0.0668044805763859
MAP3K6	0.0110940529065946
WASF2	0.724458812424549
FO393419.2	0.00947617019104959
AHDC1	0.0245212631456724
FGR	0.724370501107503
IFI6	0.389495824319368
AL445490.1	0
AL020997.5	0.000231126102220722
FAM76A	0.054881849260392
STX12	0.437157597793228
AL020997.2	0.00785828747550454
AL020997.4	0
PPP1R8	0.0351749601581015
THEMIS2	0.541771302604577
RPA2	0.117927894380835
SMPDL3B	0.17714335583892
AL512288.1	0.0350967882481539
XKR8	0.0419735431219863
EYA3	0.253688875444831
PTAFR	0.405471940681537
DNAJC8	0.175148172084126
ATP5IF1	0.133453369925994
AL353622.1	0
SESN2	0.102150901609414
MED18	0.0203390969954236
PHACTR4	0.326806969885256
RCC1	0.0419168912257557
SNHG3	0.0441715003517324
TRNAU1AP	0.0834719747638523
SNHG12	0.0335744552355338
TAF12	0.0608696079044137
LINC01715	0.000693378306662166
AL360012.1	0.112301943424472
GMEB1	0.107409773767701
YTHDF2	0.177977960910446
OPRD1	0
EPB41	0.421795023343651
AL357500.1	0
SRSF4	0.532503947961343
MECR	0.0279533990930286
MATN1-AS1	0.0127119356221397
AL137857.1	0
LAPTM5	0.84494952463002
SDC3	0.0240982850444842
PUM1	0.640052976152818
NKAIN1	0
SNRNP40	0.089886853729802
ZCCHC17	0.117614830444485
AL451070.1	0.00961137029378656
FABP3	0.000231126102220722
SERINC2	0.00785828747550454
LINC01226	0.000231126102220722
HCRTR1	0.000231126102220722
PEF1	0.0533553740270322
AC114488.2	0
AC114488.3	0
SPOCD1	0
AL354919.1	0
AL136115.2	0.0129430617243604
PTP4A2	0.492154728461158
AL136115.1	0.00762716137328382
KHDRBS1	0.337701175232191
AL445248.1	0.0227289062241372
TMEM39B	0.0402163180829645
KPNA6	0.277928816909045
TXLNA	0.0763591989739419
CCDC28B	0.0157951231575155
IQCC	0
DCDC2B	0.0101695484977118
TMEM234	0.018394162178174
EIF3I	0.11731268798412
LCK	0.0484280724877479
HDAC1	0.117671106044157
MARCKSL1	0.0316468982112616
TSSK3	0
FAM229A	0.0104006745999325
BSDC1	0.170402556619536
ZBTB8B	0.000231126102220722
ZBTB8A	0.00600927865773877
ZBTB8OS	0.140081997201187
RBBP4	0.194208488831369
SYNC	0.0318213724172518
KIAA1522	0.0168548276691354
YARS	0.150683937131243
S100PBP	0.10901818683519
FNDC5	0
AL031602.2	0.0420913654317459
RNF19B	0.121372909511562
AL020995.1	0.0312631942133266
AK2	0.121512231927347
AZIN2	0.000462252204441444
TRIM62	0.0540887790300651
ZNF362	0.0747065606724422
A3GALT2	0.000231126102220722
AL513327.1	0.0316646523007977
PHC2	0.1647248485808
AL513327.2	0.000231126102220722
ZSCAN20	0.000231126102220722
CSMD2	0
SMIM12	0.0553788570507882
DLGAP3	0
TMEM35B	0.0331122030310924
ZMYM6	0.226424916377405
ZMYM1	0.0441322262484792
SFPQ	0.614830973341186
ZMYM4	0.416411802698788
ZMYM4-AS1	0.0270636502701004
KIAA0319L	0.357308901156562
NCDN	0.0160829011559668
AC004865.2	0.0113251790088154
TFAP2E	0.0185905326944401
PSMB2	0.119004976685432
C1orf216	0.0073960352710631
CLSPN	0.00799348757824151
AGO4	0.603144354675779
AGO1	0.131167394841685
AL139286.3	0.00554702645329733
AL139286.2	0
AGO3	0.479134456186057
AL138787.2	0.0231345065323481
ADPRHL2	0.125468166789232
COL8A2	0.0137716401337596
TRAPPC3	0.0656269537550064
MAP7D1	0.186765271312132
THRAP3	0.399761941734471
SH3D21	0
EVA1B	0.02671470185812
STK40	0.290151691284302
LSM10	0.0579824145887452
OSCP1	0.0145435666469282
MRPS15	0.0401592898901751
CSF3R	1.22797182929834
LINC01137	0.0073960352710631
ZC3H12A	0.0274651083575715
MEAF6	0.0618503879129684
SNIP1	0.118621272687497
GNL2	0.156435674859187
AL513220.1	0.000231126102220722
C1orf109	0.0248875893506301
CDCA8	0.000231126102220722
EPHA10	0.000231126102220722
MANEAL	0
YRDC	0.0296453114977815
C1orf122	0.0379265770744743
MTF1	0.204575969348482
INPP5B	0.121251245053028
SF3A3	0.113113144040894
FHL3	0.0580957183812063
UTP11	0.0408745645071132
RRAGC	0.0653391757565551
AL139260.1	0.046400823539811
MYCBP	0.0489073261886079
GJA9	0.000231126102220722
RHBDL2	0.00716490916884238
AKIRIN1	0.13861556349168
NDUFS5	0.149526801433904
MACF1	0.622279497896118
AL442071.2	0.000693378306662166
AL442071.1	0
BMP8A	0
PABPC4	0.175240708455987
PABPC4-AS1	0.0129430617243604
PPIE	0.0846499341986913
BMP8B	0
AL033527.4	0.0294708372917914
LINC02811	0.0142165145452237
TRIT1	0.104927428167126
MYCL	0.0234222845307994
MFSD2A	0.0326892249299041
CAP1	0.516122956798235
PPT1	0.235744366452
RLF	0.486983274013503
TMCO2	0
AL050341.2	0
ZMPSTE24	0.0693215817629157
COL9A2	0.0189916144853524
SMAP2	1.00443621801604
AL031985.4	0.000693378306662166
ZFP69B	0.000231126102220722
ZFP69	0.00776236147602079
AL603839.3	0.0184553325917031
EXO5	0.00832053967994598
ZNF684	0.0372728491676242
RIMS3	0
AL031289.1	0
NFYC-AS1	0.0122496834176983
NFYC	0.255744304663157
KCNQ4	0.000231126102220722
CITED4	0.0419909209149636
CTPS1	0.0452093085530764
SLFNL1-AS1	0.0107670008048902
SLFNL1	0.0073960352710631
SCMH1	0.13230391556761
AC093151.8	0
FOXO6	0
HIVEP3	0.254099542923779
FOXJ3	0.420055547567757
ZMYND12	0.000693378306662166
PPCS	0.0890496145823645
CCDC30	0.0565752668513801
PPIH	0.0513537873135521
AC098484.4	0.0160262492597362
YBX1	0.30575025307777
P3H1	0.0390255556893474
C1orf50	0.0302034897017067
TMEM269	0.00730010927157935
SVBP	0.0277177544735093
ERMAP	0.0750642261393616
AL512353.1	0.00670265696440094
ZNF691	0.00762716137328382
SLC2A1	0.00808941357772526
SLC2A1-AS1	0
EBNA1BP2	0.0259080197589968
CFAP57	0
TIE1	0.000231126102220722
AL139289.2	0.000462252204441444
ELOVL1	0.0501196085959421
MED8	0.028084080678467
AL139289.1	0
SZT2	0.10889245638051
HYI	0.000231126102220722
PTPRF	0
KDM4A	0.0771485032800878
KDM4A-AS1	0.0452312048633522
ST3GAL3	0.115573613238886
AL451062.1	0.000462252204441444
AL357079.1	0.000231126102220722
IPO13	0.0117874312132568
DPH2	0.0129430617243604
ATP6V0B	0.257983740417202
B4GALT2	0
CCDC24	0.000693378306662166
SLC6A9	0
AL139220.2	0.000231126102220722
DMAP1	0.0328418028256184
ERI3	0.0944663357467822
RNF220	0.0958130656637358
TMEM53	0.0122496834176983
ARMH1	0.122846855161739
KIF2C	0.000462252204441444
AL592166.1	0
RPS8	1.08502263879626
PLK3	0.232011593230514
TCTEX1D4	0
BTBD19	0.0624089424134524
PTCH2	0.112206017424989
EIF2B3	0.166105278460032
HECTD3	0.0409878682995743
UROD	0.0377913769717374
ZSWIM5	0.0216344461265627
MUTYH	0.0312631942133266
TOE1	0.0196849927920146
TESK2	0.164119960557545
MMACHC	0.00614447876047574
PRDX1	0.166278171255194
AKR1A1	0.183058969235121
NASP	0.16567501522414
CCDC17	0
GPBP1L1	0.397960224840089
TMEM69	0.0247131151446399
IPP	0.0299504672892101
MAST2	0.127689958128949
PIK3R3	0.0152939731463796
POMGNT1	0.0155247229520416
RAD54L	0.000462252204441444
LRRC41	0.0888230069974424
UQCRH	0.206547318993306
NSUN4	0.0748119563199825
FAAH	0.0236141365297669
MKNK1-AS1	0.0108629268043739
MKNK1	0.230439783781159
MOB3C	0.0252146414523346
ATPAF1	0.0378918214885197
TEX38	0
EFCAB14-AS1	0.0147354186458957
EFCAB14	0.153477841481932
STIL	0.00762716137328382
CMPK1	0.10714276318985
LINC01389	0.00624040475995949
SLC5A9	0
SPATA6	0.124173946547769
AGBL4	0.00762716137328382
BEND5	0
AC099788.1	0
ELAVL4	0.000231126102220722
FAF1	0.691812184657667
AL049637.1	0.000231126102220722
CDKN2C	0
LINC01562	0
RNF11	0.155755532124762
AL162430.2	0
TTC39A	0
EPS15	0.627975618836965
AC104170.2	0
AC104170.1	0.000693378306662166
OSBPL9	0.435767729364809
NRDC	0.472223555193563
AL050343.2	0.000231126102220722
RAB3B	0
TXNDC12	0.108782918512229
KTI12	0.0106318007021532
AL445685.1	0.00808941357772526
BTF3L4	0.144499055377838
ZFYVE9	0.0106318007021532
CC2D1B	0.0523919718114549
AL513218.2	0
ORC1	0
PRPF38A	0.0709821282093362
TUT4	0.287407677492906
GPX7	0.00624040475995949
SHISAL2A	0.0216125498162868
COA7	0.0165844274636614
ZYG11B	0.159688385469795
ZYG11A	0
ECHDC2	0.035118308261871
SCP2	0.135690601258993
CPT2	0.0279488805757301
AL606760.2	0
CZIB	0.0446904044524044
AL606760.3	0
MAGOH	0.102703808702923
AL606760.1	0
LRP8	0.0327855272259467
LINC01771	0.000231126102220722
LINC02812	0.0104006745999325
NDC1	0.043478498341629
YIPF1	0.0745101901561761
DIO1	0.00868686588490367
HSPB11	0.0721377587204398
LRRC42	0.0104006745999325
TMEM59	0.211513894635843
TCEANC2	0.0643972935546949
CYB5RL	0.0109022009076271
MRPL37	0.0377521028684842
SSBP3	0.21539062483039
ACOT11	0.0224237504327086
FAM151A	0
MROH7	0.00855166578216671
TTC4	0.0567656136641125
PARS2	0.000231126102220722
DHCR24	0.000462252204441444
BSND	0
USP24	0.426597628724008
MIR4422HG	0
AL603840.1	0
AC119674.1	0
PLPP3	0
DAB1	0.0255069379680844
OMA1	0.0321091504157031
AL035411.3	0
TACSTD2	0
MYSM1	0.182081578854188
AL136985.3	0.017491554079567
JUN	1.48314517640632
LINC01135	0.0207446973036344
LINC02777	0
LINC01358	0.000231126102220722
AC093425.1	0
FGGY	0.0833862710055427
HOOK1	0.000231126102220722
AC099792.1	0.000231126102220722
NFIA	0.229014978537569
NFIA-AS2	0.000231126102220722
TM2D1	0.172849770337598
PATJ	0.0383544499895199
L1TD1	0.00762716137328382
KANK4	0
USP1	0.0858398876822901
DOCK7	0.123689798033052
ATG4C	0.152969535918993
ALG6	0.0497925564942376
ITGB3BP	0.06218647704927
BX004807.1	0.000231126102220722
EFCAB7	0.0114603791115523
DLEU2L	0.000231126102220722
PGM1	0.0552617873341461
ROR1	0.000231126102220722
CACHD1	0.00706898316935862
RAVER2	0.0117874312132568
JAK1	0.687412859967347
LINC01359	0
AK4	0.0250971954391338
DNAJC6	0.000693378306662166
AL139294.1	0
LEPROT	0.127931253114036
LEPR	0.0539799937549026
PDE4B	0.625891983860445
AL590783.1	0
SGIP1	0.000231126102220722
WDR78	0.00577815255551805
MIER1	0.447302451780456
SLC35D1	0.0675651093170115
C1orf141	0
IL12RB2	0.000924504408882888
SERBP1	0.277241346265937
GADD45A	0.00785828747550454
GNG12-AS1	0.0253498415550716
WLS	0.079290561206721
LRRC7	0.0235574846335363
LRRC40	0.122280392516334
SRSF11	0.723729677602052
ANKRD13C	0.182005721040494
HHLA3	0
CTH	0.021132919818868
ZRANB2-AS1	0.00970729629327031
ZRANB2	0.37480896352498
ZRANB2-AS2	0.00872613998815689
NEGR1	0.166543658695597
AL513166.1	0.00878279188438743
LRRIQ3	0
FPGT	0.0684049854989536
TNNI3K	0.00918839219259833
CRYZ	0.0104006745999325
TYW3	0.0584405245724469
SLC44A5	0.000231126102220722
ACADM	0.0791719863038438
RABGGTB	0.0874706296735139
MSH4	0
ST6GALNAC3	0.471844738283686
PIGK	0.0484714888117409
AK5	0.0287955893712241
AC118549.1	0.241288755870793
USP33	0.408113490983884
MIGA1	0.165828722009531
NEXN-AS1	0.000231126102220722
NEXN	0.0952427807772493
FUBP1	0.376421651354702
DNAJB4	0.0155247229520416
GIPC2	0.00693378306662166
AC103591.3	0.24927543261099
PTGFR	0.000231126102220722
IFI44L	0.625389189149482
IFI44	0.471559954585706
ADGRL4	0
LINC01781	0
ADGRL2	0
AL157944.1	0.000231126102220722
LINC01362	0
LINC01725	0.0107670008048902
TTLL7	0.00614447876047574
PRKACB	0.0977636478879602
SAMD13	0
RPF1	0.118983456671715
GNG5	0.229607795836445
SPATA1	0.104426654452549
CTBS	0.181850076455409
AL359762.1	0.106822167405138
SSX2IP	0.01182670531651
MCOLN2	0.00485364814663516
WDR63	0
SYDE2	0.000231126102220722
C1orf52	0.140412062633955
BCL10	0.149038886995006
AL078459.1	0.0378699251782438
DDAH1	0
ZNHIT6	0.0766043132415177
COL24A1	0.00951544429430281
ODF2L	0.0990726088878957
CLCA4-AS1	0
AL049597.2	0
SH3GLB1	0.359559744358357
SELENOF	0.253221519660445
HS2ST1	0.197167699679772
AL121989.1	0
LMO4	0.265400652784072
LINC01364	0.000462252204441444
PKN2-AS1	0.0330461577113984
PKN2	0.895565438552701
GTF2B	0.297068092182563
KYAT3	0.142783794834881
RBMXL1	0.0377347250755068
GBP3	0.14507875359548
GBP1	0.673966472215028
GBP2	0.881299993138526
AC104459.1	0.000231126102220722
GBP4	0.304661592836359
AC099063.4	0
GBP5	0.554570166058584
AC099063.1	0.128717263924845
GBP6	0
AL596214.1	0.0151236411611292
LRRC8B	0.302752184689082
LRRC8C-DT	0.05953950318732
AC093423.2	0
LRRC8C	0.58366828008446
AC099568.1	0
AC099568.2	0.000231126102220722
LRRC8D	0.575788031593372
ZNF326	0.196877435228187
LINC02609	0
ZNF644	0.531633801260131
HFM1	0.000231126102220722
CDC7	0.0126160096226559
TGFBR3	0.0188960647824274
BRDT	0
EPHX4	0
BTBD8	0.0343071076454492
GLMN	0.109887977147537
RPAP2	0.162039729505273
GFI1	0
EVI5	0.948897737306078
RPL5	0.721517757151289
DIPK1A	0.0941589755343085
MTF2	0.203433970613867
TMED5	0.283911604514615
CCDC18	0.185315459843892
CCDC18-AS1	0.216415963595537
DR1	0.0768781030746139
FNBP1L	0.0156602993513373
BCAR3	0.0145828407501814
DNTTIP2	0.117003013675393
GCLM	0.0257554418632825
ABCA4	0
ARHGAP29	0.010073622498228
ABCD3	0.122616105356077
F3	0
SLC44A3	0
CNN3	0
ALG14	0.0359076125680169
AC092802.1	0
RWDD3	0.0500848530099874
PTBP2	0.336193959274604
DPYD	3.00525112865112
DPYD-AS1	0.65809405216232
DPYD-IT1	0
DPYD-AS2	0
SNX7	0.000231126102220722
AL445433.2	0
FRRS1	0.0431684477363431
AGL	0.0551658613346623
SLC35A3	0.133667118235237
MFSD14A	0.280414756076921
AC093019.2	0.0386592294843897
SASS6	0.0262569681709771
TRMT13	0.0773581093685915
LRRC39	0.012480809519919
DBT	0.0647420997459355
AL445928.2	0.010073622498228
RTCA-AS1	0.0276829988875547
RTCA	0.0888011106871665
CDC14A	0.35065343325613
AL589990.1	0.0131741878265811
EXTL2	0.000231126102220722
AC104506.1	0.000231126102220722
SLC30A7	0.2995778314372
DPH5	0.0353668121570691
AC093157.1	0.033884129544261
AL109741.1	0.000231126102220722
S1PR1	0.0101695484977118
COL11A1	0
AC095032.1	0.000462252204441444
RNPC3	0.344427366234596
AMY2B	0.040451586405925
AL355306.2	0
PRMT6	0.00600927865773877
NTNG1	0
VAV3	0.770034058127502
VAV3-AS1	0.000462252204441444
LINC02785	0.161662125435465
SLC25A24	0.143935625971189
AL359258.2	0
FAM102B	0.234995917659936
HENMT1	0.0197809187914983
AL160171.1	0.00878279188438743
PRPF38B	0.318974237320744
STXBP3	0.288883375042975
AKNAD1	0.0617982545340364
GPSM2	0.0794952724813673
CLCC1	0.0329943807213327
WDR47	0.0918098922367756
TAF13	0.180804360109144
AL356488.3	0.0162007234657264
TMEM167B	0.100275101667515
KIAA1324	0.00776236147602079
SARS	0.117992830718545
CELSR2	0
PSRC1	0.0129430617243604
MYBPHL	0
SORT1	0.357776857084879
PSMA5	0.16712412745757
ATXN7L2	0
CYB561D1	0.0368275984596013
AMIGO1	0
GNAI3	0.302534535924777
GNAT2	0.0141379663387172
AMPD2	0.102306492836192
AL355310.2	0
GSTM4	0.0120185573154775
GSTM2	0.000231126102220722
GSTM3	0.00614447876047574
CSF1	0.000231126102220722
AHCYL1	0.177995338703423
STRIP1	0.0763591989739419
AL160006.1	0.000231126102220722
KCNC4	0.00762716137328382
RBM15-AS1	0.0178578802845247
RBM15	0.0505425866971303
LAMTOR5-AS1	0.0674370647660777
SLC16A4	0.0294927336020672
AL355488.1	0.00624040475995949
LAMTOR5	0.114944398769124
KCNA2	0
AL365361.1	0.0110940529065946
KCNA3	0.000462252204441444
CD53	0.711432130741248
AL360270.2	0
AL360270.1	0
LRIF1	0.054031374540717
AL360270.3	0
DRAM2	0.216546535505767
CEPT1	0.333257764909636
AL355816.1	0
AL355816.2	0.0120185573154775
DENND2D	0.0619463139124522
CHI3L2	0.00716490916884238
OVGP1	0.000462252204441444
AL390195.2	0
AL390195.1	0.000462252204441444
WDR77	0.0264835757558993
ATP5PB	0.14608142991431
C1orf162	0.237388287698561
TMIGD3	0
ADORA3	0
RAP1A	0.746687843127714
LINC01160	0
INKA2	0.145345011580214
INKA2-AS1	0
AL049557.1	0
DDX20	0.0348044917324041
AL445426.1	0
CTTNBP2NL	0.0301864882052882
WNT2B	0.0230604768431402
ST7L	0.0876103482935494
CAPZA1	0.635663965705065
MOV10	0.0653565535495324
AL603832.1	0.0115563051110361
RHOC	0.0365790945644032
LINC01356	0
SLC16A1	0.043299881914899
SLC16A1-AS1	0.0857590787378378
AL390242.1	0.000462252204441444
LRIG2-DT	0.0198991173978168
LRIG2	0.115097729257956
MAGI3	0.0269643346429944
PHTF1	0.114395333824389
RSBN1	0.173839587380749
AL137856.1	0.0305131640104339
PTPN22	0.153294383599653
AP4B1-AS1	0.0245038853526951
BCL2L15	0.000231126102220722
AP4B1	0.0393918818943051
DCLRE1B	0
HIPK1-AS1	0.0159261810395127
HIPK1	0.399451344343562
TRIM33	0.429051901861586
BCAS2	0.22521854844942
DENND2C	0.00901391798660815
NRAS	0.0441103299382033
CSDE1	0.387063898145401
SIKE1	0.0474986732650077
TSPAN2	0.0103047486004487
LINC01765	0.0204569193051832
VANGL1	0.000231126102220722
CASQ2	0
SLC22A15	0.460638132820751
AL365318.1	0.0068378570671379
MAB21L3	0
ATP1A1	0.597091733494248
ATP1A1-AS1	0.0381795994869709
LINC01762	0.028028181375354
AL390066.1	0.01612217525922
AL390066.2	0
CD58	0.378511365597953
IGSF3	0
CD2	0.0594443297809537
PTGFRN	0.00624040475995949
