GeneName	VarianceExpression
ZNF436-AS1	0.00016020440610809
TCEA3	0
ASAP3	0.000160204406108102
E2F2	0.00601263487874335
ID3	0.00460253685726822
MDS2	0.00633633912366253
RPL11	0.431663997669777
ELOA-AS1	0.0483429114180878
ELOA	0.0590133608404173
PITHD1	0.06327476209272
LYPLA2	0.0394657080460312
GALE	0.014032615758961
HMGCL	0.0608448041713359
FUCA1	0.0238971875956145
CNR2	0.00578368454560453
PNRC2	0.0847662447519575
SRSF10	0.199830019531615
IFNLR1	0.000562485484957228
STPG1	0.0057000278821679
NIPAL3	0.0670641003184064
RCAN3AS	0.0166532494281549
RCAN3	0.0589948632521806
NCMAP-DT	0
SRRM1	0.217460703689707
CLIC4	0.169454501635285
RUNX3	0.150037227010082
SYF2	0.161740916860653
AL031432.4	0.00452862673746719
RSRP1	0.300934386343237
AL031432.3	0
RHD	0.0144571735637816
TMEM50A	0.126782754993705
RHCE	0
MACO1	0.114982729345896
LDLRAP1	0.0320631228040807
AL606491.1	0.000320301938029302
MAN1C1	0.0843971949822195
AL031280.1	0.010615519043514
SELENON	0.0349613335154792
AL020996.1	0
MTFR1L	0.0211889295754172
AUNIP	0.00032030193802933
AL033528.2	0.00981538403145798
PAQR7	0.00818891394584103
STMN1	0.00834356089423197
PAFAH2	0.0217148071459671
PDIK1L	0.0180768422907553
ZNF593	0.0261472230367041
CNKSR1	0.000160204406108103
CEP85	0.031908637855591
SH3BGRL3	0.353629544614
UBXN11	0.111852965635106
CD52	0.301191931717377
CRYBG2	0.000160204406108093
ZNF683	0.000320301938029336
DHDDS	0.0613487674479428
AL513365.2	0.0153648539481856
HMGN2	0.166272715286502
RPS6KA1	0.12038310985203
ARID1A	0.275851747906082
PIGV	0.00818891394584098
ZDHHC18	0.0288218958021018
GPN2	0.0290087131552697
GPATCH3	0.024842438831488
NUDC	0.0885338883557537
TRNP1	0.000320301938029333
SLC9A1	0.0664315026600117
AL590640.1	0
WDTC1	0.0919400037537303
TMEM222	0.0317184967612658
SYTL1	0.0467044872007024
MAP3K6	0.00756925741040732
WASF2	0.317660369540016
FO393419.2	0.00648074381720434
AHDC1	0.0174410951639386
FGR	0.312322730546681
IFI6	0.245718255086663
AL445490.1	0
AL020997.5	0.000160204406108094
FAM76A	0.0387787684478781
STX12	0.250148730555007
AL020997.2	0.00538699338884478
AL020997.4	0
PPP1R8	0.0252320150340866
THEMIS2	0.257949319890702
RPA2	0.0800694105953433
SMPDL3B	0.130688741235339
AL512288.1	0.0262695345301023
XKR8	0.0305548107586476
EYA3	0.170872686786457
PTAFR	0.246320402513104
DNAJC8	0.114173361201048
ATP5IF1	0.0893065360935403
AL353622.1	0
SESN2	0.075588743806445
MED18	0.0140093890366027
PHACTR4	0.229028641071275
RCC1	0.0300044827510853
SNHG3	0.0314988499959138
TRNAU1AP	0.0595404057523212
SNHG12	0.0234894198070559
TAF12	0.0435187402436962
LINC01715	0.000480292595763712
AL360012.1	0.0726251827363006
GMEB1	0.0780469392657318
YTHDF2	0.114612146970802
OPRD1	0
EPB41	0.276694916055377
AL357500.1	0
SRSF4	0.282048301603071
MECR	0.0214470398598809
MATN1-AS1	0.00865253416845363
AL137857.1	0
LAPTM5	0.320530427021392
SDC3	0.0187476099774454
PUM1	0.294531665951835
NKAIN1	0
SNRNP40	0.0630011277480655
ZCCHC17	0.0829109721903732
AL451070.1	0.00672048918585991
FABP3	0.000160204406108094
SERINC2	0.00538699338884499
LINC01226	0.000160204406108101
HCRTR1	0.000160204406108092
PEF1	0.035954053572919
AC114488.2	0
AC114488.3	0
SPOCD1	0
AL354919.1	0
AL136115.2	0.00880686049428457
PTP4A2	0.261771171696071
AL136115.1	0.00523031583090397
KHDRBS1	0.203292110110981
AL445248.1	0.0158372849207696
TMEM39B	0.0279477891678667
KPNA6	0.185847953598376
TXLNA	0.0519144742703407
CCDC28B	0.0112967559857937
IQCC	0
DCDC2B	0.00694789088798368
TMEM234	0.0125642384205888
EIF3I	0.0764577726577225
LCK	0.0387931069471208
HDAC1	0.0808104458343957
MARCKSL1	0.0216843250922253
TSSK3	0
FAM229A	0.00710339282987025
BSDC1	0.107636701409429
ZBTB8B	0.000160204406108101
ZBTB8A	0.00413058044808035
ZBTB8OS	0.0958416959701479
RBBP4	0.121897250782977
SYNC	0.0222399705798748
KIAA1522	0.0121455033844874
YARS	0.108372584940084
S100PBP	0.0767991070508641
FNDC5	0
AL031602.2	0.0324796374640359
RNF19B	0.0917099535877392
AL020995.1	0.022677779465356
AK2	0.0789840351247919
AZIN2	0.000320301938029336
TRIM62	0.0410035760247017
ZNF362	0.0547477411172765
A3GALT2	0.000160204406108095
AL513327.1	0.0232741874144056
PHC2	0.108519756788906
AL513327.2	0.0001602044061081
ZSCAN20	0.000160204406108103
CSMD2	0
SMIM12	0.0375827438157212
DLGAP3	0
TMEM35B	0.0231997404576498
ZMYM6	0.144068189149988
ZMYM1	0.0318189546846308
SFPQ	0.288698212346823
ZMYM4	0.255372975129942
ZMYM4-AS1	0.0193932545604391
KIAA0319L	0.221175408779642
NCDN	0.0110413720607686
AC004865.2	0.00772433185554549
TFAP2E	0.0141789527471992
PSMB2	0.0786845639596874
C1orf216	0.00507353139877529
CLSPN	0.00562717637924136
AGO4	0.334622387531656
AGO1	0.0873900643469182
AL139286.3	0.00381540847102001
AL139286.2	0
AGO3	0.273138115350375
AL138787.2	0.016545657102173
ADPRHL2	0.0880048597051182
COL8A2	0.00950781828226155
TRAPPC3	0.0440423878112765
MAP7D1	0.117679302998702
THRAP3	0.217427266965229
SH3D21	0
EVA1B	0.0179580654892179
STK40	0.179411154577533
LSM10	0.040429991637029
OSCP1	0.0106155190435138
MRPS15	0.0269985388050598
CSF3R	0.409065243536783
LINC01137	0.00507353139877536
ZC3H12A	0.0203135512023603
MEAF6	0.0409905420093022
SNIP1	0.0791040486092714
GNL2	0.108490189922081
AL513220.1	0.000160204406108102
C1orf109	0.0178255740793123
CDCA8	0.000160204406108094
EPHA10	0.000160204406108097
MANEAL	0
YRDC	0.021013518878278
C1orf122	0.0262191536232484
MTF1	0.132170044939823
INPP5B	0.0895065317285272
SF3A3	0.0761398358915239
FHL3	0.0402449367017439
UTP11	0.028476588237452
RRAGC	0.0440057809379462
AL139260.1	0.0377505951238445
MYCBP	0.035052703318854
GJA9	0.000160204406108091
RHBDL2	0.00491664009245995
AKIRIN1	0.0908797991905434
NDUFS5	0.098842994424666
MACF1	0.333011832381087
AL442071.2	0.000480292595763712
AL442071.1	0
BMP8A	0
PABPC4	0.122044361545999
PABPC4-AS1	0.00880686049428457
PPIE	0.0577249311432142
BMP8B	0
AL033527.4	0.0204571138043472
LINC02811	0.0105467394064263
TRIT1	0.0713585091172706
MYCL	0.016286047542016
MFSD2A	0.0238724938813678
CAP1	0.269335075170706
PPT1	0.148636487209159
RLF	0.274859011970911
TMCO2	0
AL050341.2	0
ZMPSTE24	0.0496846090481419
COL9A2	0.0131047373049701
SMAP2	0.391284223752865
AL031985.4	0.000480292595763712
ZFP69B	0.000160204406108094
ZFP69	0.00547056133869163
AL603839.3	0.013941636155763
EXO5	0.00570002788216785
ZNF684	0.0284337998861141
RIMS3	0
AL031289.1	0
NFYC-AS1	0.00834356089423197
NFYC	0.170142480949626
KCNQ4	0.000160204406108092
CITED4	0.0291814589772947
CTPS1	0.0312341604630717
SLFNL1-AS1	0.0074982206792662
SLFNL1	0.00507353139877542
SCMH1	0.116216733652497
AC093151.8	0
FOXO6	0
HIVEP3	0.196224217773008
FOXJ3	0.246952632863817
ZMYND12	0.000480292595763713
PPCS	0.059574924047213
CCDC30	0.0481823470834628
PPIH	0.0363317261986336
AC098484.4	0.0114496566260036
YBX1	0.179216116854555
P3H1	0.027021795110414
C1orf50	0.021539063788188
TMEM269	0.00515701063503069
SVBP	0.0191932718137597
ERMAP	0.0512822271704918
AL512353.1	0.00460253685726822
ZNF691	0.00523031583090376
SLC2A1	0.00554356407259985
SLC2A1-AS1	0
EBNA1BP2	0.0186532014413795
CFAP57	0
TIE1	0.000160204406108102
AL139289.2	0.000320301938029341
ELOVL1	0.0337248605348315
MED8	0.0195754080308993
AL139289.1	0
SZT2	0.0755334719366112
HYI	0.000160204406108095
PTPRF	0
KDM4A	0.0521919740708129
KDM4A-AS1	0.0342105303027289
ST3GAL3	0.0933075586996278
AL451062.1	0.000320301938029342
AL357079.1	0.000160204406108101
IPO13	0.00803416012326274
DPH2	0.00880686049428462
ATP6V0B	0.156510555828997
B4GALT2	0
CCDC24	0.000480292595763712
SLC6A9	0
AL139220.2	0.000160204406108094
DMAP1	0.0227329266492577
ERI3	0.0672539112125262
RNF220	0.0633115425481774
TMEM53	0.00834356089423197
ARMH1	0.0827734755607466
KIF2C	0.00032030193802933
AL592166.1	0
RPS8	0.387105910274263
PLK3	0.153556323825402
TCTEX1D4	0
BTBD19	0.0457250172588583
PTCH2	0.0752929205852402
EIF2B3	0.128042012894966
HECTD3	0.0273338643046627
UROD	0.0259870672461741
ZSWIM5	0.0171052497778242
MUTYH	0.02203674809255
TOE1	0.0135586843689778
TESK2	0.134693798241602
MMACHC	0.00437126357760924
PRDX1	0.105875663131766
AKR1A1	0.115634681019617
NASP	0.105895390914518
CCDC17	0
GPBP1L1	0.230069046278265
TMEM69	0.0172675082520248
IPP	0.020338774625798
MAST2	0.10185469998992
PIK3R3	0.0123482460747126
POMGNT1	0.0108205739697132
RAD54L	0.000320301938029343
LRRC41	0.0625231671796472
UQCRH	0.13123397084935
NSUN4	0.0550687452489702
FAAH	0.0161128824532455
MKNK1-AS1	0.00741407609108101
MKNK1	0.14657551667973
MOB3C	0.0178873713932965
ATPAF1	0.0276835112246242
TEX38	0
EFCAB14-AS1	0.0104457618906492
EFCAB14	0.100784020275334
STIL	0.00523031583090398
CMPK1	0.0700090678528988
LINC01389	0.0042880061253297
SLC5A9	0
SPATA6	0.0953485095675648
AGBL4	0.00523031583090404
BEND5	0
AC099788.1	0
ELAVL4	0.000160204406108094
FAF1	0.367763090923707
AL049637.1	0.000160204406108102
CDKN2C	0
LINC01562	0
RNF11	0.106424112603001
AL162430.2	0
TTC39A	0
EPS15	0.306773338235943
AC104170.2	0
AC104170.1	0.000480292595763712
OSBPL9	0.250041877105704
NRDC	0.249181263013887
AL050343.2	0.000160204406108095
RAB3B	0
TXNDC12	0.0747947385788812
KTI12	0.00725878789756977
AL445685.1	0.00554356407259986
BTF3L4	0.0977499378747589
ZFYVE9	0.00725878789756974
CC2D1B	0.0370918693729847
AL513218.2	0
ORC1	0
PRPF38A	0.0473209046116613
TUT4	0.200727333597381
GPX7	0.0042880061253297
SHISAL2A	0.0166919717208059
COA7	0.0116698946481981
ZYG11B	0.110978697125704
ZYG11A	0
ECHDC2	0.0259629792099645
SCP2	0.0945162329078657
CPT2	0.0193406593530474
AL606760.2	0
CZIB	0.0313667745807703
AL606760.3	0
MAGOH	0.0686430431117582
AL606760.1	0
LRP8	0.025464933553551
LINC01771	0.00016020440610809
LINC02812	0.0071033928298704
NDC1	0.0346827486387335
YIPF1	0.0525140418358822
DIO1	0.00609638025577031
HSPB11	0.0495593233835884
LRRC42	0.00710339282987028
TMEM59	0.128879577630184
TCEANC2	0.0458204260326413
CYB5RL	0.00773761689063381
MRPL37	0.0253451235612741
SSBP3	0.151572333412909
ACOT11	0.0174691673599811
FAM151A	0
MROH7	0.00585638481754876
TTC4	0.0393502689741181
PARS2	0.0001602044061081
DHCR24	0.000320301938029308
BSND	0
USP24	0.243035619027155
MIR4422HG	0
AL603840.1	0
AC119674.1	0
PLPP3	0
DAB1	0.0194124511362282
OMA1	0.0219753595742603
AL035411.3	0
TACSTD2	0
MYSM1	0.115463666371097
AL136985.3	0.0139724123445513
JUN	0.795580531196403
LINC01135	0.0143991847929592
LINC02777	0
LINC01358	0.000160204406108094
AC093425.1	0
FGGY	0.0666768697659369
HOOK1	0.000160204406108097
AC099792.1	0.000160204406108099
NFIA	0.203449114568857
NFIA-AS2	0.000160204406108099
TM2D1	0.112777004452106
PATJ	0.0309860839891063
L1TD1	0.00523031583090389
KANK4	0
USP1	0.0590534070504392
DOCK7	0.0921696859588426
ATG4C	0.108918175346408
ALG6	0.0336793590983086
ITGB3BP	0.0465223585995538
BX004807.1	0.000160204406108098
EFCAB7	0.00796357708506848
DLEU2L	0.000160204406108099
PGM1	0.0425482709606495
ROR1	0.00016020440610809
CACHD1	0.00500007497192064
RAVER2	0.00803416012326277
JAK1	0.306380150303766
LINC01359	0
AK4	0.0189214264716793
DNAJC6	0.000480292595763712
AL139294.1	0
LEPROT	0.0827018195680527
LEPR	0.0466865144008801
PDE4B	0.494378217940657
AL590783.1	0
SGIP1	0.000160204406108093
WDR78	0.00397304789664342
MIER1	0.250621091155023
SLC35D1	0.0543814516744821
C1orf141	0
IL12RB2	0.000640176379311242
SERBP1	0.169322897335877
GADD45A	0.00538699338884484
GNG12-AS1	0.0181228596565823
WLS	0.0599634603867998
LRRC7	0.016842536307042
LRRC40	0.0831043593518519
SRSF11	0.294744340322054
ANKRD13C	0.127543284044791
HHLA3	0
CTH	0.0158407629416193
ZRANB2-AS1	0.00663656638165078
ZRANB2	0.214637191864835
ZRANB2-AS2	0.0064200920380183
NEGR1	0.194740458924293
AL513166.1	0.00601263487874328
LRRIQ3	0
FPGT	0.0488486826531006
TNNI3K	0.00673232393024388
CRYZ	0.00710339282987056
TYW3	0.0409123693769583
SLC44A5	0.000160204406108098
ACADM	0.0543653735820958
RABGGTB	0.0573755146387043
MSH4	0
ST6GALNAC3	0.373938135564133
PIGK	0.0376160173117158
AK5	0.0241160216160005
AC118549.1	0.160355551048202
USP33	0.231180003430837
MIGA1	0.111867886513788
NEXN-AS1	0.000160204406108096
NEXN	0.0729068873678748
FUBP1	0.21210159393535
DNAJB4	0.0108205739697132
GIPC2	0.0047596419119572
AC103591.3	0.20912342967036
PTGFR	0.000160204406108101
IFI44L	0.42149400008681
IFI44	0.307229361377129
ADGRL4	0
LINC01781	0
ADGRL2	0
AL157944.1	0.000160204406108094
LINC01362	0
LINC01725	0.0074982206792662
TTLL7	0.00437126357760916
PRKACB	0.0751835565831059
SAMD13	0
RPF1	0.0811053147444835
GNG5	0.140540074490034
SPATA1	0.0735390724948086
CTBS	0.116912028377517
AL359762.1	0.0841183331433256
SSX2IP	0.00835762828042934
MCOLN2	0.00334184894902863
WDR63	0
SYDE2	0.0001602044061081
C1orf52	0.0915311567162324
BCL10	0.0985474286069636
AL078459.1	0.027270945358154
DDAH1	0
ZNHIT6	0.0568063060720788
COL24A1	0.00680439358033469
ODF2L	0.0778748692468547
CLCA4-AS1	0
AL049597.2	0
SH3GLB1	0.222855719002748
SELENOF	0.161920100892484
HS2ST1	0.155073106536271
AL121989.1	0
LMO4	0.169510918529354
LINC01364	0.000320301938029316
PKN2-AS1	0.0257609648148471
PKN2	0.350425912654644
GTF2B	0.192647744913212
KYAT3	0.10306778192747
RBMXL1	0.0263978122844784
GBP3	0.0980234223620763
GBP1	0.443753958606796
GBP2	0.408899525397525
AC104459.1	0.000160204406108097
GBP4	0.202768327702192
AC099063.4	0
GBP5	0.412290275681562
AC099063.1	0.101951470516737
GBP6	0
AL596214.1	0.0118920074701876
LRRC8B	0.195628114326564
LRRC8C-DT	0.0423109384180993
AC093423.2	0
LRRC8C	0.335753147558373
AC099568.1	0
AC099568.2	0.000160204406108097
LRRC8D	0.332432789691847
ZNF326	0.126713257206937
LINC02609	0
ZNF644	0.279272838843064
HFM1	0.000160204406108096
CDC7	0.00873703361100073
TGFBR3	0.0161533066062942
BRDT	0
EPHX4	0
BTBD8	0.0245653547340586
GLMN	0.0839231555720357
RPAP2	0.111184349155677
GFI1	0
EVI5	0.361252334225042
RPL5	0.340980639285138
DIPK1A	0.0777103117074013
MTF2	0.138425909652501
TMED5	0.176167777309741
CCDC18	0.135980801812282
CCDC18-AS1	0.154859463727291
DR1	0.0511079516824633
FNBP1L	0.0127394876413098
BCAR3	0.0114467759828153
DNTTIP2	0.0782854342808959
GCLM	0.0201111677700665
ABCA4	0
ARHGAP29	0.00703190240578319
ABCD3	0.0858202457118245
F3	0
SLC44A3	0
CNN3	0
ALG14	0.0287367034135063
AC092802.1	0
RWDD3	0.0358310973436289
PTBP2	0.209124409043889
DPYD	0.189197635482481
DPYD-AS1	0.335867305706804
DPYD-IT1	0
DPYD-AS2	0
SNX7	0.000160204406108099
AL445433.2	0
FRRS1	0.0318992410590481
AGL	0.0410383579681924
SLC35A3	0.0938537013518028
MFSD14A	0.172750041814144
AC093019.2	0.0272887092379962
SASS6	0.0194479223084523
TRMT13	0.0548684891760142
LRRC39	0.00849810096843676
DBT	0.0458424802412624
AL445928.2	0.00703190240578313
RTCA-AS1	0.0212979509240214
RTCA	0.0614718010944216
CDC14A	0.246966055277561
AL589990.1	0.00896107994592835
EXTL2	0.000160204406108098
AC104506.1	0.000160204406108092
SLC30A7	0.186292021783022
DPH5	0.0250543388925059
AC093157.1	0.0242775722727071
AL109741.1	0.000160204406108095
S1PR1	0.00694789088798382
COL11A1	0
AC095032.1	0.00032030193802934
RNPC3	0.204267316203168
AMY2B	0.0288353947829354
AL355306.2	0
PRMT6	0.00413058044808033
NTNG1	0
VAV3	0.378177544288221
VAV3-AS1	0.000320301938029324
LINC02785	0.128083709147706
SLC25A24	0.0997422582104795
AL359258.2	0
FAM102B	0.166461956776962
HENMT1	0.0134728282755106
AL160171.1	0.00601263487874313
PRPF38B	0.188165366264141
STXBP3	0.176660287951787
AKNAD1	0.0447921512273499
GPSM2	0.0559677651962426
CLCC1	0.0222343442143951
WDR47	0.0650399481927675
TAF13	0.118159443103151
AL356488.3	0.0120107547324423
TMEM167B	0.0669591711732146
KIAA1324	0.00547056133869159
SARS	0.0779351292889763
CELSR2	0
PSRC1	0.00880686049428456
MYBPHL	0
SORT1	0.229306063832108
PSMA5	0.108603432110278
ATXN7L2	0
CYB561D1	0.0247730644495805
AMIGO1	0
GNAI3	0.182776118432625
GNAT2	0.00990017556183701
AMPD2	0.0678876305039444
AL355310.2	0
GSTM4	0.00818891394584091
GSTM2	0.0001602044061081
GSTM3	0.00437126357760923
CSF1	0.000160204406108101
AHCYL1	0.113742072043369
STRIP1	0.0515939585839379
AL160006.1	0.000160204406108103
KCNC4	0.00523031583090405
RBM15-AS1	0.0134004962519279
RBM15	0.0339989039107564
LAMTOR5-AS1	0.047401476908015
SLC16A4	0.0218315946707849
AL355488.1	0.0042880061253297
LAMTOR5	0.0747721097713536
KCNA2	0
AL365361.1	0.00756925741040726
KCNA3	0.000320301938029333
CD53	0.293373708941352
AL360270.2	0
AL360270.1	0
LRIF1	0.0374135858825372
AL360270.3	0
DRAM2	0.13693005921853
CEPT1	0.196558794910256
AL355816.1	0
AL355816.2	0.00818891394584087
DENND2D	0.0421786564478044
CHI3L2	0.00491664009245991
OVGP1	0.000320301938029332
AL390195.2	0
AL390195.1	0.000320301938029309
WDR77	0.0178101072578059
ATP5PB	0.0952298087730563
C1orf162	0.148538219447146
TMIGD3	0
ADORA3	0
RAP1A	0.373428808615266
LINC01160	0
INKA2	0.0981379316667895
INKA2-AS1	0
AL049557.1	0
DDX20	0.0250705785031888
AL445426.1	0
CTTNBP2NL	0.0239517678234398
WNT2B	0.0196094978805471
ST7L	0.060982067205599
CAPZA1	0.288854799678521
MOV10	0.0435931638586742
AL603832.1	0.00787929942649716
RHOC	0.0253619153449769
LINC01356	0
SLC16A1	0.0356288081955672
SLC16A1-AS1	0.0720096551637904
AL390242.1	0.000320301938029334
LRIG2-DT	0.0164426561121866
LRIG2	0.0785714709914132
MAGI3	0.0242065746041084
PHTF1	0.0843267606171017
RSBN1	0.115122185217583
AL137856.1	0.0220087890666795
PTPN22	0.124113351174769
AP4B1-AS1	0.0181728082017668
BCL2L15	0.000160204406108099
AP4B1	0.0273956438763361
DCLRE1B	0
HIPK1-AS1	0.011750138493343
HIPK1	0.233717155518776
TRIM33	0.231124837184905
BCAS2	0.162317122075252
DENND2C	0.00616877806575032
NRAS	0.030445115133785
CSDE1	0.213887888329674
SIKE1	0.0318896847094189
TSPAN2	0.00718744870446442
LINC01765	0.0149777684240892
VANGL1	0.000160204406108098
CASQ2	0
SLC22A15	0.323196201803205
AL365318.1	0.0048430324346229
MAB21L3	0
ATP1A1	0.385036105885651
ATP1A1-AS1	0.0286974679158522
