GeneName	CoefficientOfVariation
CEP85	4.06367210358725
SH3BGRL3	0.923937962760764
UBXN11	1.85316834300342
CD52	0.960275920955595
CRYBG2	54.7631262803705
ZNF683	38.7169192114006
DHDDS	2.78964704466673
AL513365.2	5.51929179936536
HMGN2	1.48632759880525
RPS6KA1	1.83144990901807
ARID1A	0.977887938558006
PIGV	7.52940771582595
ZDHHC18	3.9989973393992
GPN2	4.28999416475495
GPATCH3	4.38042383343087
NUDC	2.15884575830712
TRNP1	38.7169192114003
SLC9A1	2.65918338390537
AL590640.1	0
WDTC1	2.37676461888659
TMEM222	4.10737185260381
SYTL1	3.23499573501678
MAP3K6	7.84217274697357
WASF2	0.777978900668177
FO393419.2	8.49531672671
AHDC1	5.38572331078593
FGR	0.771509077757065
IFI6	1.27267028835302
AL445490.1	0
AL020997.5	54.7631262803707
FAM76A	3.588130827905
STX12	1.1440924530777
AL020997.2	9.3399662939648
AL020997.4	0
PPP1R8	4.51587958656466
THEMIS2	0.937456655404747
RPA2	2.39947799554515
SMPDL3B	2.04077074396586
AL512288.1	4.61805194171866
XKR8	4.16451248268617
EYA3	1.629426971601
PTAFR	1.22402246053261
DNAJC8	1.92919791600928
ATP5IF1	2.23929895525931
AL353622.1	0
SESN2	2.69145027027303
MED18	5.81939625736079
PHACTR4	1.46437932244804
RCC1	4.13241573494381
SNHG3	4.01795619982761
TRNAU1AP	2.92324494184168
SNHG12	4.56485692539113
TAF12	3.42718582862675
LINC01715	31.6069577408126
AL360012.1	2.39969666051157
GMEB1	2.6009627727787
YTHDF2	1.90216898962782
OPRD1	0
EPB41	1.24709385275355
AL357500.1	0
SRSF4	0.997330067824626
MECR	5.23900791352683
MATN1-AS1	7.31745359086068
AL137857.1	0
LAPTM5	0.670044837002543
SDC3	5.68181145326214
PUM1	0.847910621607494
NKAIN1	0
SNRNP40	2.79240227088814
ZCCHC17	2.44818322022236
AL451070.1	8.52933424639795
FABP3	54.7631262803706
SERINC2	9.33996629396499
LINC01226	54.7631262803719
HCRTR1	54.7631262803703
PEF1	3.55382273938595
AC114488.2	0
AC114488.3	0
SPOCD1	0
AL354919.1	0
AL136115.2	7.25059314622455
PTP4A2	1.03958318537819
AL136115.1	9.48202338433853
KHDRBS1	1.33514271317255
AL445248.1	5.536838144205
TMEM39B	4.15691765881187
KPNA6	1.55111969761396
TXLNA	2.98389039359387
CCDC28B	6.7290515821145
IQCC	0
DCDC2B	8.19643167524285
TMEM234	6.09379827104605
EIF3I	2.35703393464063
LCK	4.06705549186476
HDAC1	2.41581634772032
MARCKSL1	4.65309377015011
TSSK3	0
FAM229A	8.10347706378655
BSDC1	1.92532514879286
ZBTB8B	54.7631262803718
ZBTB8A	10.6950593573848
ZBTB8OS	2.21001346676343
RBBP4	1.79774771934022
SYNC	4.68649543031408
KIAA1522	6.53858002222898
YARS	2.18470477106272
S100PBP	2.54202097993946
FNDC5	0
AL031602.2	4.28166388907382
RNF19B	2.49509148448817
AL020995.1	4.81689206856526
AK2	2.31286167919036
AZIN2	38.7169192114005
TRIM62	3.74372284077004
ZNF362	3.1320187951782
A3GALT2	54.7631262803709
AL513327.1	4.81795278879833
PHC2	1.99984017572237
AL513327.2	54.7631262803717
ZSCAN20	54.7631262803722
CSMD2	0
SMIM12	3.50066259086376
DLGAP3	0
TMEM35B	4.59995398017967
ZMYM6	1.67633121722189
ZMYM1	4.04191445897982
SFPQ	0.873909196263861
ZMYM4	1.21356889768979
ZMYM4-AS1	5.14563499601582
KIAA0319L	1.31620817527012
NCDN	6.53351856442092
AC004865.2	7.76042286524848
TFAP2E	6.40516384204268
PSMB2	2.35710889977133
C1orf216	9.63066336593256
CLSPN	9.3844529133892
AGO4	0.959083080508525
AGO1	2.25374687007513
AL139286.3	11.1355143726028
AL139286.2	0
AGO3	1.09077142116749
AL138787.2	5.56008933510759
ADPRHL2	2.36439359873958
COL8A2	7.0803507203499
TRAPPC3	3.1978138750116
MAP7D1	1.83676637638962
THRAP3	1.1664216111041
SH3D21	0
EVA1B	5.01625313055719
STK40	1.45982102455339
LSM10	3.46781187007925
OSCP1	7.08434481607042
MRPS15	4.09151460013692
CSF3R	0.520844265157934
LINC01137	9.63066336593263
ZC3H12A	5.18933383025337
MEAF6	3.27340244668583
SNIP1	2.37102851236508
GNL2	2.10552030840818
AL513220.1	54.7631262803721
C1orf109	5.36461958102089
CDCA8	54.7631262803707
EPHA10	54.7631262803712
MANEAL	0
YRDC	4.88982564847498
C1orf122	4.26938859193223
MTF1	1.77710014024773
INPP5B	2.46740907512581
SF3A3	2.43945546623165
FHL3	3.45311862555991
UTP11	4.12848621860504
RRAGC	3.21056313494369
AL139260.1	4.18732058949631
MYCBP	3.82813141686941
GJA9	54.7631262803703
RHBDL2	9.78641255785533
AKIRIN1	2.1748118194713
NDUFS5	2.10258665469715
MACF1	0.927351416815326
AL442071.2	31.6069577408126
AL442071.1	0
BMP8A	0
PABPC4	1.99353497601189
PABPC4-AS1	7.25059314622455
PPIE	2.83827901950237
BMP8B	0
AL033527.4	4.85321695191512
LINC02811	7.22380433308327
TRIT1	2.54585612016532
MYCL	5.44852059326294
MFSD2A	4.72655016791196
CAP1	1.00552594456893
PPT1	1.63539020848371
RLF	1.0765667077618
TMCO2	0
AL050341.2	0
ZMPSTE24	3.21545528574913
COL9A2	6.02770894771007
SMAP2	0.622764437867937
AL031985.4	31.6069577408126
ZFP69B	54.7631262803707
ZFP69	9.52844612919946
AL603839.3	6.39786388236197
EXO5	9.07375385620891
ZNF684	4.52402357538109
RIMS3	0
AL031289.1	0
NFYC-AS1	7.45677184327821
NFYC	1.61287388373168
KCNQ4	54.7631262803704
CITED4	4.06816071201165
CTPS1	3.90919247160807
SLFNL1-AS1	8.042375813393
SLFNL1	9.63066336593269
SCMH1	2.57668681484341
AC093151.8	0
FOXO6	0
HIVEP3	1.74330116106882
FOXJ3	1.18304184354063
ZMYND12	31.6069577408127
PPCS	2.7409411091091
CCDC30	3.87987170224302
PPIH	3.71168009796847
AC098484.4	6.67673805440235
YBX1	1.38459164408206
P3H1	4.21219048334803
C1orf50	4.85910503707507
TMEM269	9.83715812974453
SVBP	4.9982326079031
ERMAP	3.01682714691973
AL512353.1	10.1216576610889
ZNF691	9.48202338433834
SLC2A1	9.20401877924766
SLC2A1-AS1	0
EBNA1BP2	5.27160025793771
CFAP57	0
TIE1	54.7631262803721
AL139289.2	38.7169192114008
ELOVL1	3.66410078110173
MED8	4.981902223329
AL139289.1	0
SZT2	2.52389875379426
HYI	54.7631262803708
PTPRF	0
KDM4A	2.96124511194273
KDM4A-AS1	4.0892319613092
ST3GAL3	2.64301557432376
AL451062.1	38.7169192114009
AL357079.1	54.7631262803718
IPO13	7.60415691555418
DPH2	7.25059314622457
ATP6V0B	1.53348482174984
B4GALT2	0
CCDC24	31.6069577408126
SLC6A9	0
AL139220.2	54.7631262803707
DMAP1	4.59093015877285
ERI3	2.74524875499872
RNF220	2.62613296500475
TMEM53	7.45677184327821
ARMH1	2.34197121227916
KIF2C	38.7169192114002
AL592166.1	0
RPS8	0.573424310835424
PLK3	1.68897867738467
TCTEX1D4	0
BTBD19	3.42633731465164
PTCH2	2.44546202835953
EIF2B3	2.15423368664712
HECTD3	4.03362188777298
UROD	4.26565688069969
ZSWIM5	6.04531491252058
MUTYH	4.74832465411156
TOE1	5.91525560015908
TESK2	2.23620902545243
MMACHC	10.7601530776551
PRDX1	1.95687386149453
AKR1A1	1.85760358585885
NASP	1.9641810184848
CCDC17	0
GPBP1L1	1.20528410306218
TMEM69	5.31725322642675
IPP	4.76166446607391
MAST2	2.49938864474695
PIK3R3	7.26578118241519
POMGNT1	6.70040864728985
RAD54L	38.7169192114009
LRRC41	2.81510769021301
UQCRH	1.75389493030111
NSUN4	3.13676207825413
FAAH	5.37544657079118
MKNK1-AS1	7.92650369174604
MKNK1	1.66139637220946
MOB3C	5.30420701040681
ATPAF1	4.39101685102947
TEX38	0
EFCAB14-AS1	6.93597600344906
EFCAB14	2.06847442969014
STIL	9.48202338433853
CMPK1	2.46952999255669
LINC01389	10.4933688541536
SLC5A9	0
SPATA6	2.48671761145618
AGBL4	9.48202338433859
BEND5	0
AC099788.1	0
ELAVL4	54.7631262803707
FAF1	0.876588691284156
AL049637.1	54.7631262803721
CDKN2C	0
LINC01562	0
RNF11	2.09448154441524
AL162430.2	0
TTC39A	0
EPS15	0.881994797752423
AC104170.2	0
AC104170.1	31.6069577408126
OSBPL9	1.1474963418724
NRDC	1.0570853276879
AL050343.2	54.7631262803708
RAB3B	0
TXNDC12	2.51405525209556
KTI12	8.01355507873129
AL445685.1	9.20401877924767
BTF3L4	2.1636810278588
ZFYVE9	8.01355507873127
CC2D1B	3.67599250364297
AL513218.2	0
ORC1	0
PRPF38A	3.06462614803921
TUT4	1.5588520289809
GPX7	10.4933688541536
SHISAL2A	5.97788853478839
COA7	6.51377847246326
ZYG11B	2.08615455760563
ZYG11A	0
ECHDC2	4.58821410970678
SCP2	2.26570537545818
CPT2	4.97589514330411
AL606760.2	0
CZIB	3.96296873745769
AL606760.3	0
MAGOH	2.55100737917989
AL606760.1	0
LRP8	4.86731105621914
LINC01771	54.7631262803701
LINC02812	8.10347706378663
NDC1	4.28333673813221
YIPF1	3.07554475457466
DIO1	8.9882037223741
HSPB11	3.0860292589
LRRC42	8.10347706378657
TMEM59	1.69727865678117
TCEANC2	3.32400712430752
CYB5RL	8.06843733681172
MRPL37	4.21702386407337
SSBP3	1.80752025273191
ACOT11	5.89424049062908
FAM151A	0
MROH7	8.94878519914268
TTC4	3.49452792649643
PARS2	54.7631262803717
DHCR24	38.7169192113989
BSND	0
USP24	1.15562393143488
MIR4422HG	0
AL603840.1	0
AC119674.1	0
PLPP3	0
DAB1	5.46237940245584
OMA1	4.61678000487225
AL035411.3	0
TACSTD2	0
MYSM1	1.86619345218882
AL136985.3	6.75783058009483
JUN	0.60139305680657
LINC01135	5.78444705649664
LINC02777	0
LINC01358	54.7631262803707
AC093425.1	0
FGGY	3.09665660898604
HOOK1	54.7631262803712
AC099792.1	54.7631262803715
NFIA	1.9695364112
NFIA-AS2	54.7631262803715
TM2D1	1.94285983689975
PATJ	4.58952339072248
L1TD1	9.48202338433845
KANK4	0
USP1	2.83095743013148
DOCK7	2.45448381959602
ATG4C	2.15747230500508
ALG6	3.68567879897873
ITGB3BP	3.46844576656972
BX004807.1	54.7631262803714
EFCAB7	7.78672988611222
DLEU2L	54.7631262803715
PGM1	3.73263935684444
ROR1	54.76312628037
CACHD1	10.0030239928578
RAVER2	7.60415691555419
JAK1	0.8052164893931
LINC01359	0
AK4	5.48089831123929
DNAJC6	31.6069577408126
AL139294.1	0
LEPROT	2.24792014072009
LEPR	4.00279082325754
PDE4B	1.12338927799764
AL590783.1	0
SGIP1	54.7631262803706
WDR78	10.908697437665
MIER1	1.11919955700343
SLC35D1	3.45146055584557
C1orf141	0
IL12RB2	27.3678597963603
SERBP1	1.4842253555371
GADD45A	9.33996629396486
GNG12-AS1	5.31053303095891
WLS	3.08831685662684
LRRC7	5.50902609599197
LRRC40	2.35751833379448
SRSF11	0.750146963068376
ANKRD13C	1.96220219907506
HHLA3	0
CTH	5.95564142613647
ZRANB2-AS1	8.39215382453561
ZRANB2	1.23606844713156
ZRANB2-AS2	9.18223601084043
NEGR1	2.64972005853339
AL513166.1	8.82876229395345
LRRIQ3	0
FPGT	3.23101275839038
TNNI3K	8.9298256162672
CRYZ	8.10347706378672
TYW3	3.46109253203806
SLC44A5	54.7631262803714
ACADM	2.9450294869721
RABGGTB	2.73842621798781
MSH4	0
ST6GALNAC3	1.29598735084874
PIGK	4.00129016340655
AK5	5.39295579395072
AC118549.1	1.65960569000291
USP33	1.17813262165728
MIGA1	2.01693992479648
NEXN-AS1	54.763126280371
NEXN	2.83499444136575
FUBP1	1.22348139757947
DNAJB4	6.70040864728985
GIPC2	9.94985816797467
AC103591.3	1.83451753717576
PTGFR	54.7631262803719
IFI44L	1.03811467160505
IFI44	1.17542369657336
ADGRL4	0
LINC01781	0
ADGRL2	0
AL157944.1	54.7631262803707
LINC01362	0
LINC01725	8.042375813393
TTLL7	10.760153077655
PRKACB	2.80468463293559
SAMD13	0
RPF1	2.39352559109853
GNG5	1.63272656975753
SPATA1	2.59685505215151
CTBS	1.88025221830098
AL359762.1	2.71508820866162
SSX2IP	7.7299689584338
MCOLN2	11.9103662909683
WDR63	0
SYDE2	54.7631262803718
C1orf52	2.15466648413067
BCL10	2.10631368644247
AL078459.1	4.36069437394641
DDAH1	0
ZNHIT6	3.11132265467833
COL24A1	8.66893291087035
ODF2L	2.81672900417623
CLCA4-AS1	0
AL049597.2	0
SH3GLB1	1.31292775349169
SELENOF	1.58909467403844
HS2ST1	1.99725020268993
AL121989.1	0
LMO4	1.55130378410387
LINC01364	38.7169192113993
PKN2-AS1	4.85691039254228
PKN2	0.660998968111829
GTF2B	1.47749478850329
KYAT3	2.24844642950454
RBMXL1	4.3056901938201
GBP3	2.15804807286598
GBP1	0.988400207513389
GBP2	0.725578718969633
AC104459.1	54.7631262803712
GBP4	1.47802694458266
AC099063.4	0
GBP5	1.15783065392508
AC099063.1	2.48061832442026
GBP6	0
AL596214.1	7.21059698064407
LRRC8B	1.46092643858862
LRRC8C-DT	3.45478577223526
AC093423.2	0
LRRC8C	0.992759277890116
AC099568.1	0
AC099568.2	54.7631262803712
LRRC8D	1.00135781993313
ZNF326	1.80806935050327
LINC02609	0
ZNF644	0.99403520161673
HFM1	54.7631262803711
CDC7	7.4090067703654
TGFBR3	6.72603850258809
BRDT	0
EPHX4	0
BTBD8	4.56853982113197
GLMN	2.63627507647159
RPAP2	2.05778652754683
GFI1	0
EVI5	0.633411464897188
RPL5	0.809315459651239
DIPK1A	2.96058545265542
MTF2	1.82888002820347
TMED5	1.47835962566112
CCDC18	1.9898811922431
CCDC18-AS1	1.81835880053785
DR1	2.94063809420056
FNBP1L	7.20735512575454
BCAR3	7.33667799878097
DNTTIP2	2.39135159664927
GCLM	5.50617029827674
ABCA4	0
ARHGAP29	8.32435792360076
ABCD3	2.38917168579653
F3	0
SLC44A3	0
CNN3	0
ALG14	4.72097762634653
AC092802.1	0
RWDD3	3.77940689358997
PTBP2	1.36023034000591
DPYD	0.144736172377577
DPYD-AS1	0.88063491371538
DPYD-IT1	0
DPYD-AS2	0
SNX7	54.7631262803715
AL445433.2	0
FRRS1	4.13736411015631
AGL	3.67218527038039
SLC35A3	2.29192877565626
MFSD14A	1.48220480594206
AC093019.2	4.27305323174279
SASS6	5.31119232112775
TRMT13	3.02799848752506
LRRC39	7.38615110709313
DBT	3.30709958424906
AL445928.2	8.32435792360072
RTCA-AS1	5.27176176246575
RTCA	2.79202672617944
CDC14A	1.41723065295892
AL589990.1	7.18548893559241
EXTL2	54.7631262803715
AC104506.1	54.7631262803703
SLC30A7	1.4407461087992
DPH5	4.47554118532322
AC093157.1	4.59839521338699
AL109741.1	54.7631262803709
S1PR1	8.19643167524293
COL11A1	0
AC095032.1	38.7169192114007
RNPC3	1.31220530963607
AMY2B	4.19785460671913
AL355306.2	0
PRMT6	10.6950593573848
NTNG1	0
VAV3	0.798615866947007
VAV3-AS1	38.7169192113998
LINC02785	2.2138014294061
SLC25A24	2.1941751766074
AL359258.2	0
FAM102B	1.73618971812494
HENMT1	5.86790301448545
AL160171.1	8.82876229395334
PRPF38B	1.35992274462601
STXBP3	1.45494614331708
AKNAD1	3.42471748896791
GPSM2	2.9759640502091
CLCC1	4.51931050362726
WDR47	2.77779771094701
TAF13	1.90118911183412
AL356488.3	6.7647342510475
TMEM167B	2.58054789303997
KIAA1324	9.52844612919942
SARS	2.36597967703216
CELSR2	0
PSRC1	7.25059314622454
MYBPHL	0
SORT1	1.33842957657116
PSMA5	1.97188971683872
ATXN7L2	0
CYB561D1	4.27382236072212
AMIGO1	0
GNAI3	1.41313862232128
GNAT2	7.03776084582219
AMPD2	2.5467840918707
AL355310.2	0
GSTM4	7.52940771582591
GSTM2	54.7631262803717
GSTM3	10.7601530776551
CSF1	54.763126280372
AHCYL1	1.89475009934431
STRIP1	2.97466498561159
AL160006.1	54.7631262803722
KCNC4	9.4820233843386
RBM15-AS1	6.48232100593884
RBM15	3.6481693752153
LAMTOR5-AS1	3.22847388348166
SLC16A4	5.00988436384831
AL355488.1	10.4933688541536
LAMTOR5	2.37893186975719
KCNA2	0
AL365361.1	7.84217274697354
KCNA3	38.7169192114004
CD53	0.761337322037445
AL360270.2	0
AL360270.1	0
LRIF1	3.57988150359072
AL360270.3	0
DRAM2	1.70882723878167
CEPT1	1.33035015071295
AL355816.1	0
AL355816.2	7.5294077158259
DENND2D	3.3153615914657
CHI3L2	9.78641255785529
OVGP1	38.7169192114003
AL390195.2	0
AL390195.1	38.7169192113989
WDR77	5.03914256314318
ATP5PB	2.11247435218391
C1orf162	1.62352813431323
TMIGD3	0
ADORA3	0
RAP1A	0.818398507951188
LINC01160	0
INKA2	2.15535255909317
INKA2-AS1	0
AL049557.1	0
DDX20	4.54932414322709
AL445426.1	0
CTTNBP2NL	5.12691591767195
WNT2B	6.07246406247651
ST7L	2.81867928806195
CAPZA1	0.845497253424887
MOV10	3.19462622502942
AL603832.1	7.68112446946455
RHOC	4.35369572130637
LINC01356	0
SLC16A1	4.35927167514371
SLC16A1-AS1	3.12906985454749
AL390242.1	38.7169192114004
LRIG2-DT	6.44395015964032
LRIG2	2.43537411871746
MAGI3	5.77001524657909
PHTF1	2.53848381472291
RSBN1	1.95177984897888
AL137856.1	4.8619538331192
PTPN22	2.29817453222149
AP4B1-AS1	5.50143605848706
BCL2L15	54.7631262803715
AP4B1	4.20178694028434
DCLRE1B	0
HIPK1-AS1	6.80628051977633
HIPK1	1.21026760541435
TRIM33	1.12050417150854
BCAS2	1.78886683261576
DENND2C	8.71336627946305
NRAS	3.95565588696371
CSDE1	1.19484186289535
SIKE1	3.75961725065512
TSPAN2	8.22716065681312
LINC01765	5.98250849166879
VANGL1	54.7631262803714
CASQ2	0
SLC22A15	1.23416503134155
AL365318.1	10.17744280398
MAB21L3	0
ATP1A1	1.0392252006872
ATP1A1-AS1	4.43701014055621
LINC01762	5.63551459961334
AL390066.1	6.61228524578737
AL390066.2	0
CD58	1.25956173974047
IGSF3	0
CD2	3.68598451985863
PTGFRN	10.4933688541536
CD101	3.27392683971505
AL445231.1	7.86927553773424
TTF2	2.93212163079273
TRIM45	0
MAN1A2	1.54757282930404
TENT5C	7.11057878652622
GDAP2	1.64518139207611
WDR3	4.27300750228936
SPAG17	54.7631262803713
WARS2	2.98749137873516
WARS2-IT1	0
WARS2-AS1	3.26339464111644
LINC00622	0
ZNF697	4.7541434485185
PHGDH	38.7169192113993
NOTCH2	0.625541386608688
SEC22B	2.30869999135445
AC253572.1	0
NBPF26	1.55102000616765
AC253572.2	1.15265571006054
LINC00623	2.12651437142028
FCGR1B	2.42839605477619
AC244453.3	0
AC244453.2	0
AC244453.1	0
FAM72B	54.7631262803702
SRGAP2C	1.31639590236562
SRGAP2-AS1	4.33631871368491
LINC02798	5.77884574190715
LINC02591	4.94121712382282
HIST2H3PS2	54.7631262803707
LINC02802	0
AC246785.3	0
NBPF15	5.44852059326303
FP700111.1	5.5282791404111
SRGAP2B	1.16951690065885
FAM72D	10.4933688541535
AC245014.3	1.75033236039524
NBPF20	7.60415691555416
